song,artist
Dr. John,Mika
Lover Boy,Mika
Cold Hard Bitch,Jet
Honeyhoney - Little Toy Gun,KCRW.com
Rurouni's Theme,Rurouni Kenshin
Just Feel Better,Santana feat. Steven Tyler
Sweet About Me,Gabriella Cilmi
Forsaken,Dream Theater
Thank U,Alanis Morissette
Dream Theater - Finally Free,Dream Theater
The Blower's Daughter,Damien Rice
Cold Water,Damien Rice
Joining You,Alanis Morissette
Eskimo,Damien Rice
Amie,Damien Rice
Any Other World,Mika
Such A Rush - www.Jalibury.com,Coldplay
No More Keeping My Feet On The Ground - www.Jalibury.com,Coldplay
Shy,Sonata Arctica
Uyan Akustik,Mor ve Ötesi
durma öyle,Mor ve Ötesi
Bir Derdim Var Akustik,Mor ve Ötesi
Re,Mor ve Ötesi
Küçük Sevgilim,Mor ve Ötesi
Darbe,Mor ve Ötesi
Daha Mutlu Olamam,Mor ve Ötesi
Balıklar,Mor ve Ötesi
Come Pick Me Up,Ryan Adams
When Did Your Heart Go Missing,Rooney
Crucify the Dead feat. Ozzy Osbourne,Slash
Sapphire,Richie Kotzen
I Can Make You Happy,Richie Kotzen
Master of Ceremonies (Part 2),Pink Floyd
The Show Must Go On,Pink Floyd
A Wish For Something More,Amy Macdonald
Take Away My Pain,Dream Theater
Crying in the Rain,The Everly Brothers
Running Battle,Kasabian
I.D.,Kasabian
Cutt Off,Kasabian
Club Foot,Kasabian
L.S.F. (Lost Souls Forever),Kasabian
Underdog,Kasabian
Processed Beats,Kasabian
A Rose for the Dead,Theatre of Tragedy
Romulus,Sufjan Stevens
John Wayne Gacy Jr.,Sufjan Stevens
Rise & Fall,The Cinematics
Rainy Day Women Nos 12 & 35,Bob Dylan
Just Be Simple,Songs: Ohia
Sky,Joshua Radin
Thru The Glass,Thirteen Senses
Undivided,Thirteen Senses
Into The Fire,Thirteen Senses
Automatic,Thirteen Senses
Gone,Thirteen Senses
Last Forever,Thirteen Senses
Do No Wrong,Thirteen Senses
The Salt Wound Routine,Thirteen Senses
History,Thirteen Senses
Lead Us,Thirteen Senses
Angels And Spies,Thirteen Senses
Saving,Thirteen Senses
Unholy Trinity,Epica
Popular Mechanics for Lovers,Beulah
Another Lonely Day,Ben Harper
Beni Severmiş O,Asfalt Dünya
Paradise City,Guns N' Roses
Sweet Religion,Imogen Heap
Rake It In,Imogen Heap
Spooky,Imogen Heap
Clear the Area,Imogen Heap
Princes Familiar (MTV Unplugged),Alanis Morissette
Sister Blister,Alanis Morissette
8 Easy Steps,Alanis Morissette
That I Would Be Good,Alanis Morissette
Never Enough,Epica
You Oughta Know,Alanis Morissette
Pirates Of The Caribbean,Epica
Still (From The Dogma Soundtrack),Alanis Morissette
Hands Clean,Alanis Morissette
Hand in My Pocket,Alanis Morissette
Thinking About You,Ivy
Comfortably Numb,Anathema
Beyond Belief,Epica
Safeguard to Paradise,Epica
Blank Infinity,Epica
Run for a Fall,Epica
Have a Nice Day,Bon Jovi
All Around the World,Oasis
Last Cigarette,Bon Jovi
Who Says You Can't Go Home,Bon Jovi
Story Of My Life (Live),Bon Jovi
Story Of My Life,Bon Jovi
Who Says You Can't Go Home (Duet with Jennifer Nettles of Sugarland),Bon Jovi
Last Man Standing,Bon Jovi
I Am,Bon Jovi
I Want To Be Loved,Bon Jovi
Novocaine,Bon Jovi
Bells Of Freedom,Bon Jovi
Complicated,Bon Jovi
Who Says You Can't Go Home (feat. Jennifer Nettles) (Live),Bon Jovi
Welcome To Wherever You Are,Bon Jovi
The Phantom Agony,Epica
Feint,Epica
Cry for the Moon,Epica
Montagues & Capulets,Epica
Stabat Mater Dolorosa,Epica
Spiderman Medley,Epica
Melancholy,Dragon Ash
The Bakery,Arctic Monkeys
High,Richie Kotzen
Into The Night,Santana ft Chad Kroeger
Shouldve Listened,Nickelback
Another Hole In The Head,Nickelback
Saturday nights allright,Nickelback
Do This Anymore,Nickelback
Figured You Out,Nickelback
Photograph,Nickelback
Someday,Nickelback
Do Wah Diddy Diddy (Dum Diddy Do),Manfred Mann
Smoke on the Water,Deep Purple
Bend to Squares,Death Cab for Cutie
Pity and Fear,Death Cab for Cutie
Cath...,Death Cab for Cutie
06 - Falling away with you,Muse www.Rocksijen.Com
I Think I'm in Love,The Subways
No Heart No Soul,The Subways
I Won't Let You Down,The Subways
To Be Myself Completely,Belle and Sebastian
It's Me,Alice Cooper
Too Much to Ask,Arctic Monkeys
Temptation Greets You Like Your Naughty Friend,Arctic Monkeys
What If You Were Right the First Time?,Arctic Monkeys
Stickin' to the Floor,Arctic Monkeys
Chun Li's Spinning Bird Kick,Arctic Monkeys
Seven,Arctic Monkeys
Curse This English Rain,The Cribs
The Doors - Summer's Almost Gone,The Doors
05 - Breathing (acoustic),Lifehouse
Kids with Guns,Gorillaz
Rock of Ages [Full Mix],Ben Kweller
Cartwheels,The Reindeer Section
Last Christmas,Jimmy Eat World
Decent Days and Nights,The Futureheads
Eve The Apple Of My Eye,Bell X1
Publish My Love,Rogue Wave
Hands Up!,Walking Concert
Maybe This Christmas,Ron Sexsmith
On The Table,A.C. Newman
Merry Xmas Everybody,Rooney
Call Me,Arthur Yoria
Crying,Sugarcult
Seein' Red,Unwritten Law
Bring Me Down,Useless ID
T.M.T.,Snow Patrol
My Last Girlfriend,Snow Patrol
Whatever's Left,Snow Patrol
It Doesn't Matter Where Just Drive,Snow Patrol
Atlas,Fanfarlo
IOU,Metric
White Collar Boy,Belle and Sebastian
We Are the Sleepyheads,Belle and Sebastian
If She Wants Me,Belle and Sebastian
Fooled Again,Richie Kotzen
RICHIE KOTZEN - FAITH,Richie Kotzen
My Angel,Richie Kotzen
Larger Than Life,Richie Kotzen
Peace Sign,Richie Kotzen
She,Richie Kotzen
Lie To Me,Richie Kotzen
Unwritten Law - Your My Angel,Unwritten Law
Remember,Richie Kotzen
You Can't Save Me,Richie Kotzen
I Would,Richie Kotzen
Rust,Richie Kotzen
Where Did Our Love Go,Richie Kotzen
Don't Ask,Richie Kotzen
What Is,Richie Kotzen
Change,Richie Kotzen
RICHIE KOTZEN - CAN_YOU_FEEL_IT,Richie Kotzen
RICHIE KOTZEN - FEED_MY_HEAD,Richie Kotzen
RICHIE KOTZEN - YOU'RE_CRAZY,Richie Kotzen
RICHIE KOTZEN - DO_IT_TO_YOURSELF,Richie Kotzen
RICHIE KOTZEN - CHASE_IT,Richie Kotzen
RICHIE KOTZEN - DUST,Richie Kotzen
RICHIE KOTZEN - BAD_THINGS,Richie Kotzen
RICHIE KOTZEN - FOOLED_AGAIN,Richie Kotzen
RICHIE KOTZEN - YOU_KNOW_THAT,Richie Kotzen
RICHIE KOTZEN - GO_FASTER,Richie Kotzen
Livin' in Bliss,Richie Kotzen
Your Lies,Richie Kotzen
Misunderstood,Richie Kotzen
Worry About You,Ivy
I've Got a Feeling,Ivy
You Don't Know Anything,Ivy
Only a Fool Would Say That,Ivy
Ocean City Girl,Ivy
I've Got You Memorized,Ivy
I'll Have to Dance With Cassie,God Help the Girl
Chop and Change,The Black Keys
Let's Get Lost,Beck and Bat For Lashes
Rolling in on a Burning Tire,The Dead Weather
And She Would Darken the Memory,The Twilight Sad
Mapped By What Surrounded Them,The Twilight Sad
Talking With Fireworks/Here It Never Snowed,The Twilight Sad
Walking for Two Hours,The Twilight Sad
Mute Witness,Morrissey
Asian Rut,Morrissey
Our Frank,Morrissey
I Have Forgiven Jesus,Morrissey
Anchor,Trespassers William
Strawberry Blonde,The Subways
Vaccine,Mew
You're the One for Me Fatty,Morrissey
The Father Who Must Be Killed,Morrissey
When You're Gone,The Cranberries
Black Hole Sun (Soundgarden),Chris Cornell
Robot (Skit for Comedy Show),Fran Healy
Baby Dream in Cellophane,Porcupine Tree
Disappear,My Brightest Diamond
Hospital Bills,The Cinematics
She Talks To The Trees,The Cinematics
Hard For Young Lovers,The Cinematics
You Can Dance,The Cinematics
Race To The City,The Cinematics
Lips Taste Like Tears,The Cinematics
Sunday Sun,The Cinematics
New Mexico,The Cinematics
Moving To Berlin,The Cinematics
Run,Amy Macdonald
Come Monday Night,God Help the Girl
God Help the Girl,God Help the Girl
Musician Please Take Heed,God Help the Girl
Micro Cuts,Muse
Communion Cups and Someone's Coat,Iron & Wine
Introducing Palace Players,Mew
Hawaii Dream,Mew
Hawaii,Mew
New Terrain,Mew
Beach,Mew
Silas the Magic Car,Mew
Comforting Sounds,Mew
Snow Brigade,Mew
7.The Zookeeper's Boy,Mew
Special,Mew
Rascalize,The Rascals
Out Of Dreams,The Rascals
Does Your Husband Know That You're on the Run?,The Rascals
How Do I End This?,The Rascals
The Glorified Collector,The Rascals
Stockings To Suit,The Rascals
People Watching,The Rascals
I'd Be Lying To You,The Rascals
Matador,Arctic Monkeys
Cigarette Smoker Fiona,Arctic Monkeys
If You Found This It's Probably Too Late,Arctic Monkeys
Outsiders,Franz Ferdinand
Tell Her Tonight,Franz Ferdinand
Fade Together,Franz Ferdinand
Goshens Remains,Pure Reason Revolution
Dearest Forsaken,Iron & Wine
The Thoughts of Mary Jane,Nick Drake
Hazey Jane I,Nick Drake
Been Smoking Too Long,Nick Drake
Your Worst is the Best,I Love You But I've Chosen Darkness
When You Go Out,I Love You But I've Chosen Darkness
Cello Song,Nick Drake
Elizabeth My Dear,The Stone Roses
Made of Stone,The Stone Roses
Waterfall,The Stone Roses
This Is the One,The Stone Roses
Shoot You Down,The Stone Roses
Exogenesis: Symphony Part 2 (Cross-Pollination),Muse
12 - Plug In Baby,Muse www.Rocksijen.Com
Better than This,Keane
Goodnight and Go (Immi's Radio Mix),Imogen Heap
Shine,Imogen Heap
Up in the Sky,Oasis
Round Are Way,Oasis
Wonderwall (Electric Version With Orchestra),Oasis
Embers of Love,Mich Gerber Feat. Imogen Heap
A Place In Displacement,South
Sad Song,Oasis
Wonderwall (Fast Accoustic Version),Oasis
Lonely Highs,South
Better Things,South
Jury Duty,The O.C. Supertones
Good Day,The OC Soundtrack
All Kinds of Time,The OC Soundtrack
It's the Training!,増田俊郎
Cigarettes and Alcohol,Oasis
Lets All Make Believe,Oasis
Thank You for the Good Times,Oasis
You've Got to Hide Your Love Away,Oasis
Phanton Planet - California,Phantom Planet
What Do You Got?,Bon Jovi
Sad Eyed Lady of the Lowlands,Bob Dylan
Stuck Inside of Mobile with the Memphis Blues Again,Bob Dylan
Sadness and Sorrow,増田俊郎
Wind,増田俊郎
The Rising Fighting Spirit,増田俊郎
RICHIE KOTZEN - DRIFT,Richie Kotzen
Seperate Ways,Journey
Youkoso! Hitori Bocchi,Pearl Kyoudai
One of These Days,Pink Floyd
Lucifer Sam,Pink Floyd
Shine On You Crazy Diamond (Part VIII),Pink Floyd
What Do You Want From Me,Pink Floyd
Poles Apart,Pink Floyd
Loser,3 Doors Down
Love Me When Im Gone,3 Doors Down
Untitled,Trespassers William
Those Swollen Hand Blues,Oasis
Champagne Supernova,Oasis
Cum On Feel The Noize,Oasis
Promises,The Cranberries
Eyes Like Bottles,Trespassers William
I Don't Mind,Trespassers William
Cast No Shadow,Oasis
Cigarettes & Alcohol,Oasis
Til Kingdom Come [Hidden Track],Coldplay
Our Destiny,Epica
Kingdom of Heaven (A New Age Dawns - Part V),Epica
Unleashed,Epica
In a Song,Trespassers William
Love You More,Trespassers William
Hamburg Song,Keane
The Iron Sea,Keane
Black Burning Heart,Keane
Pretend That You're Alone,Keane
Put It Behind You,Keane
Sacred Ground,Richie Kotzen
Till You Put Me Down,Richie Kotzen
Doin' What the Devil Says To Do,Richie Kotzen
The Shadow,Richie Kotzen
Fear,Richie Kotzen
How Do You Know,Wilson Hawk
Everything Good,Wilson Hawk
Something in You,Wilson Hawk
Beautiful Life,Wilson Hawk
How Does It Feel,Wilson Hawk
Over,Wilson Hawk
Stay,Wilson Hawk
Leaving So Soon?,Keane
Hey Hey My My,Oasis
The Planets Bend Between Us,Snow Patrol
Making Enemies,Snow Patrol
Favourite Friend,Snow Patrol
Let It Slide,Keane
Love Is the End,Keane
Perfect Symmetry,Keane
You Don't See Me,Keane
Don`t Look Back In Anger,Oasis
Araf,Mor ve Ötesi
Denek Hayatım,Sakin
We'll Live and Die In These To,The Enemy
I Summon You,Spoon
Little Bribes,Death Cab for Cutie
Photobooth,Death Cab for Cutie
Dizzy Miss Lizzy,The Beatles
Tell Me What You See,The Beatles
You Like Me Too Much,The Beatles
Act Naturally,The Beatles
You're Going to Lose That Girl,The Beatles
Another Girl,The Beatles
I Need You,The Beatles
The Night Before,The Beatles
Run for Your Life,The Beatles
If I Needed Someone,The Beatles
Wait,The Beatles
What Goes On,The Beatles
The Word,The Beatles
Think for Yourself,The Beatles
Söyle Ruhum,TNK
Living a Lie,Epica
Death of a Dream,Epica
La'fetach chataz rovetz,Epica
Eversleeping,Xandria
Wire To Wire (Radio Rip),Razorlight
Stinger,Razorlight
Tabloid Lover,Razorlight
She's a Rebel,Green Day
Give Me Novacaine,Green Day
St. Jimmy,Green Day
My Generation,Green Day
Time of Your Life,Green Day
Warning,Green Day
Wake Me Up When September Ends,Green Day
Letterbomb,Green Day
Extraordinary Girl,Green Day
Basket Case,Green Day
snow patrol - Never Gonna Fall In Love  Again,Snow Patrol
04 - Snow Patrol - Shut Your Eyes,Snow Patrol
Ask Me How I Am,Snow Patrol
Crazy in Love,Snow Patrol
stars (sophie muller watermark),Switchfoot
I Dare You To Move,Switchfoot
Learning to Breathe,Switchfoot
Gone,Switchfoot
Prenzlaurberg,Beirut
Girls & Boys,The Subways
All Or Nothing,The Subways
Shake! Shake!,The Subways
1am [Demo Version],The Subways
Bir (Akustik),Mor ve Ötesi
Boat On The River,Styx
Gül Kendine,Mor ve Ötesi
mogwai - i can't remember,Mogwai
Take Me Somewhere Nice,Mogwai
My Own Prison,Creed
With Arms Wide Open,Creed
Creed - Unforgiven,Creed
Creed - One,Creed
Six Feet From the Edge,Creed
Coldplay - Easy To Please,Coldplay
Forever Young,Bob Dylan
Mad World,Gary Jules
2+2=5 (The Lukewarm),Radiohead
When the Music's Over,The Doors
More Time,NEEDTOBREATHE
I Like What You Say,Nada Surf
Molly's Lips,Nirvana
Breed,Nirvana
Too Lost in You,Sugababes
Çöpçüler,Erkin Koray
Last Train Home,Ryan Star
Trip (Jet-Lag),Anonymous Shapes
Suspended,Anonymous Shapes
Kuklalar,Anima
Feeling a Moment,Feeder
I'm a Believer,The Monkees
Glasgow Kiss,John Petrucci
Fall At Your Feet-James Blunt,James Blunt
Fault Line,Eliot Morris
No Particular Place to Go,Chuck Berry
Maybellene,Chuck Berry
Johnny B Goode,Chuck Berry
Breakfast in America,Roger Hodgson
Airborne,My Architects
Rules and Regulations,Rufus Wainwright
Going To A Town,Rufus Wainwright
Across the Universe,Rufus Wainwright
California,Rufus Wainwright
Yellow (Coldplay cover),Jem
I'm a Believer,Coldplay
Under The Pines,My Architects
Can't Get You Out Of My Head,Coldplay
Square One,Coldplay
What If,Coldplay
Say You Don't Want It,One Night Only
Hannah We Know,Tiny Dancers
Magic Forest,M. Walking on the Water
Tunnel Vision,John Petrucci
Gives You Hell,The All-American Rejects
Wishful Thinking,John Petrucci
In Hiding,Pearl Jam
Indifference,Pearl Jam
Why Go,Pearl Jam
Who You Are,Pearl Jam
Corduroy,Pearl Jam
I Can Feel Your Pain,Manchester Orchestra
The New,Interpol
She Said,Plan B
Questions,The Moody Blues
Evil,Interpol
Rise and Fall,The Cinematics
Human,The Cinematics
Everything,Buckcherry
teddy picker,the artctic monkeys
Laid,Better Than Ezra
Nights in White Satin,The Moody Blues
Sunny Afternoon,The Kinks
PDA,Interpol
Dear Diary,The Moody Blues
Like A Friend,Pulp
Galway Girl,Gerard Butler
please please please let me get what i want,The Last Shadow Puppets
The One You Love,Rufus Wainwright
Indie Rock and Roll,The Killers
April Fools,Rufus Wainwright
You and Me,One Night Only
Just For Tonight,One Night Only
Obstacle 1,Interpol
Leif Erikson,Interpol
Who Feels Love,Oasis
A Change of Seasons,Dream Theater
The Rover,Dream Theater
Peruvian Skies,Dream Theater
the heat of morning,The Last Shadow Puppets
Green Grass,Tom Waits
Please Please Please Let Me Get What I Want,Muse
Bigger Boys and Stolen Sweethearts,Arctic Monkeys
Rabbit Heart,Florence + the Machine
I Can Barely Breathe,Manchester Orchestra
I Can Feel a Hot One,Manchester Orchestra
Yellow Ledbetter,Pearl Jam
Come Back,Pearl Jam
03  /  Alive,Pearl Jam
02  /  Even Flow,Pearl Jam
06  /  Jeremy,Pearl Jam
14 - Rule By Secrecy,Muse www.Rocksijen.Com
Exogenesis Symphony Part 1 [Overture],Muse
Exogenesis Symphony Part 3 [Redemption],Muse
12  /  Alive (Live),Pearl Jam
Thank You (Led Zeppelin Cover),Chris Cornell
Lemon Tree,Fool's Garden
Devil's Daughter,Silvertide
I Wanna Live In A Dream In My Record Machine,Oasis
Promise,Slash
Gotten,Slash
The Promise,Novembre
Forever,Stratovarius
Breathe,Anna Nalick
Promise,Reamonn
Letter to Dana,Sonata Arctica
Sleepless,Until June
Commercial Breakdown,The Sunshine Underground
Blue Jeans,Silvertide
11  /  Release,Pearl Jam
White Wedding,Sentenced
Killing Me Killing You,Sentenced
Got You On My Mind,Eric Clapton
How Good Can It Be,The 88
Street Spirit,Radiohead
Would,Alice in Chains
Scene Nine: Finally Free,Dream Theater
The Big Medley,Dream Theater
Perfect Strangers,Dream Theater
Behind Blue Eyes (The Who Cover),Silvertide
Cats in the cradle and a silver spoon,Guns N' Roses
Ana's Song (Open Fire),Silverchair
Suicidal Dream,Silverchair
Heartstrong,Silvertide
how good can it be,OC Mix
Get Ready,Eric Clapton
One More Trip,Bang Gang
Lie Down in the Light,Bonnie 'Prince' Billy
Prayer Of The Refugee (Radio Edit),Rise Against
Nothing,Fool's Garden
Justify the Rain,Cosmic Rough Riders
Emily Darling,Cosmic Rough Riders
Hunger Strike,Temple of the Dog
in Time,Cosmic Rough Riders
Alone,Trespassers William
Spoonman,Soundgarden
We're All Gonna Die,Slash
23,Jimmy Eat World
Come On Come In,Velvet Revolver
beyaz,Mor ve Ötesi
Baby Can't Drive,Slash
Swoon,Imogen Heap
3 Rounds and a Sound,Blind Pilot
Ghost,Slash
Zoe Jane,Staind
Mother Maria,Slash
Meksika,Mor ve Ötesi
Nakba,Mor ve Ötesi
Suzy,Fool's Garden
Whatever,Oasis
09 - Blackout,Muse www.Rocksijen.Com
Tidal,Imogen Heap
It's Good To Be In Love,Imogen Heap
The Story In Your Eyes,The Moody Blues
Redemption Song (Bob Marley Cover),Chris Cornell
Earth,Imogen Heap
by the time,imogen heap ft mika
Yeniden,Malt
Between Sheets,Imogen Heap
The Fire,Imogen Heap
No Such Thing,Chris Cornell
You Could Be Mine,Guns N' Roses
Tuesday Afternoon,The Moody Blues
I Know You're Out There Somewhere,The Moody Blues
Starlight,Slash
Woman,Slash
Civil War,Slash
Live and Let Die,Guns N' Roses
Since I Don't Have You,Guns N' Roses
Ain't It Fun,Guns N' Roses
Higher,Creed
Through Glass,Stone Sour
One Last Breath,Creed
Down,Alice in Chains
Crucify the Dead,Slash
Unchain My Heart,Ray Charles
Pressure,Anathema
I Hold On,Slash
Watch This,Slash
Dead As Yesterday,Black Label Society
Promise,Slash Feat Chris Cornell
woman,Slash ft. Andrew Stockdale
Starlight,Slash feat Myles Kennedy
Hallelujah,Regina Spektor
No Surprises,Regina Spektor
shining  on,The Revolters
Prelude & Yodel,Penguin Cafe Orchestra
Gold Guns Girls,Metric
Hayat,Mor ve Ötesi
Love Has Left the Room,A Camp
Flying,Anathema
If You Want Me,Marketa Irglova
If You Want Me to Stay,Red Hot Chili Peppers
Wish You Were Here,Pink Floyd
Lost for Words,Pink Floyd
Time,Pink Floyd
Wearing the Inside Out,Pink Floyd
Have a Cigar,Pink Floyd
Nightwish,Nightwish
Soon you will be Leaving...,Bright Eyes
Fyrsta,Sigur Rós
We Will Become Silhouettes,The Postal Service
Manhattan Skyline,Kings of Convenience
Led Zeppelin - Led Zeppelin II - 01 - Whole Lotta Love,Led Zeppelin
She Said She Said,The Beatles
It's Not Your Fault,New Found Glory
Right Here in My Arms,HIM
Into Dust,Ashtar Command
My Heart Will Go On,New Found Glory
Save Me,Remy Zero
Are You Lightning?,Nada Surf
Tiny Little Fractures,Snow Patrol
O Valencia,The Decemberists
The Film Did Not Go 'Round,Nada Surf
See These Bones,Nada Surf
Tonight,Reamonn
I Walk Beside You,Dream Theater
Dream Theater - Metropolis,Dream Theater
A Rite of Passage,Dream Theater
Free,Yodelice
All I Want Is You,Juno Soundtrack
The Silent Man,Dream Theater
Billie Jean (Michael Jackson Cover),Chris Cornell
She Is My Sin,Nightwish
Angel,Judas Priest
Arıza,Malt
Evdeymiş,Malt
Doldur,Malt
Olmaz,Malt
Önemsiz,Malt
Mutlu,Malt
Neanderthal,Malt
Yangın,Malt
gece (live-acoustic),Mor ve Ötesi
Taxman,The Beatles
Pain,Jimmy Eat World
Work,Jimmy Eat World
Wave Goodbye,Steadman
Everything Burns,Ben Moody feat. Anastacia
PS. I Love You Soundtrack - Chuck Prophet - No Other Love,Chuck Prophet
14 - Can't take it in (Imogen Heap),The Chronicles Of Narnia
If I Handle You With Care,Trembling Blue Stars
Moonlight on Snow,Trembling Blue Stars
Follow,Bang Gang
Black Star,Radiohead
You've Got Me All Wrong,Dios Malos
